id;isbn;title;year;author
B-001;978-0-13-468599-1;Чиста архітектура;2017;Роберт Мартін
B-002;978-966-03-5219-4;Кобзар;1840;Тарас Шевченко
B-003;978-617-7535-24-8;Лісова пісня;1911;Леся Українка
B-004;978-966-14-9876-3;Тіні забутих предків;1912;Михайло Коцюбинський
B-005;978-0-596-00712-6;Head First Design Patterns;2004;Eric Freeman
B-006;978-966-97756-1-2;Захар Беркут;1883;Іван Франко
B-007;978-617-664-123-4;Місто;1928;Валер'ян Підмогильний
B-008;978-0-13-235088-4;Clean Code;2008;Robert C. Martin
B-009;978-966-97025-3-1;Тигролови;1944;Іван Багряний
B-010;978-966-8659-38-6;Хіба ревуть воли, як ясла повні;1875;Панас Мирний
B-011;978-966-03-2222-2;Собор;1968
B-012;978-966-03-3333-3;Зачарована Десна;дуже давно;Олександр Довженко
B-013;;Тигролови (друге видання);1944;Іван Багряний
